Start Point,End Point,Steps,Distance (cm),Time (s),Path,Specific Path
시작점,매점,153.00,4035.00,94.00,시작점 --> 매점,시작점 --> 11-5반 옆 계단 --> 한울마당 가로 질러 매점
시작점,매점,168.00,9143.50,104.00,시작점 --> 매점,시작점 --> 신관 중앙 계단 --> 매점
시작점,매점,246.00,13131.00,151.00,시작점 --> 매점,시작점 --> 사회실 옆 계단 --> 1층 상담실 --> 매점
시작점,매점,151.00,4035.00,90.00,시작점 --> 매점,시작점 --> 11-5반 옆 계단 --> 한울마당 가로 질러 매점
시작점,매점,155.00,4035.00,98.00,시작점 --> 매점,시작점 --> 11-5반 옆 계단 --> 한울마당 가로 질러 매점
시작점,매점,166.00,9143.50,102.00,시작점 --> 매점,시작점 --> 신관 중앙 계단 --> 매점
시작점,매점,168.00,9143.50,110.00,시작점 --> 매점,시작점 --> 신관 중앙 계단 --> 매점
시작점,매점,248.00,13131.00,161.00,시작점 --> 매점,시작점 --> 사회실 옆 계단 --> 1층 상담실 --> 매점
시작점,매점,244.00,13131.00,148.00,시작점 --> 매점,시작점 --> 사회실 옆 계단 --> 1층 상담실 --> 매점
시작점,도서관,317.00,16950.00,194.80,시작점 --> 도서관,시작점 → 계단 1 → 7-5 / 12-3 → 계단 0 → 2-3 → 세종4 → 도서관 3거리 코너 → 도서관
시작점,도서관,411.00,21954.00,252.50,시작점 --> 도서관,시작점 → 계단 2 → 7-5 → 2-3 → 세종4 → 도서관 3거리 코너 → 도서관
시작점,도서관,500.00,26755.00,307.10,시작점 --> 도서관,시작점 → 계단 3 → 7-5 → 2-3 → 세종4 → 도서관 3거리 코너 → 도서관
시작점,도서관,293.00,15666.00,180.50,시작점 --> 도서관,시작점 → 계단 1 → 유치원 옆 훈민정음 벽 → 유치원 원장실 → 행정실3 → 도서관 계단 → 도서관
시작점,도서관,308.00,16478.00,189.70,시작점 --> 도서관,시작점 → 계단 2 → 유치원 옆 화장실→ 전시실 → 행정실3 → 도서관 계단 → 도서관
시작점,도서관,401.00,21449.00,246.20,시작점 --> 도서관,시작점 → 계단 3 → 상담실 → 유치원 옆 화장실 → 전시실 → 행정실3 → 도서관 계단 → 도서관
시작점,도서관,315.00,16950.00,196.00,시작점 --> 도서관,시작점 → 계단 1 → 7-5 / 12-3 → 계단 0 → 2-3 → 세종4 → 도서관 3거리 코너 → 도서관
시작점,도서관,320.00,16950.00,192.00,시작점 --> 도서관,시작점 → 계단 1 → 7-5 / 12-3 → 계단 0 → 2-3 → 세종4 → 도서관 3거리 코너 → 도서관
시작점,도서관,413.00,21954.00,248.00,시작점 --> 도서관,시작점 → 계단 2 → 7-5  → 2-3 → 세종4 → 도서관 3거리 코너 → 도서관
시작점,도서관,410.00,21954.00,250.00,시작점 --> 도서관,시작점 → 계단 2 → 7-5 → 2-3 → 세종4 → 도서관 3거리 코너 → 도서관
시작점,도서관,498.00,26755.00,305.00,시작점 --> 도서관,시작점 → 계단 3 → 7-5 → 2-3 → 세종4 → 도서관 3거리 코너 → 도서관
시작점,도서관,502.00,26755.00,310.00,시작점 --> 도서관,시작점 → 계단 3 → 7-5 → 2-3 → 세종4 → 도서관 3거리 코너 → 도서관
시작점,도서관,290.00,15666.00,180.00,시작점 --> 도서관,시작점 → 계단 1 → 유치원 옆 훈민정음 벽 → 유치원 원장실 → 행정실3 → 도서관 계단 → 도서관
시작점,도서관,296.00,15666.00,181.00,시작점 --> 도서관,시작점 → 계단 1 → 유치원 옆 훈민정음 벽 → 유치원 원장실 → 행정실3 → 도서관 계단 → 도서관
시작점,도서관,305.00,16478.00,187.00,시작점 --> 도서관,시작점 → 계단 2 → 유치원 옆 화장실→ 전시실 → 행정실3 → 도서관 계단 → 도서관
시작점,도서관,310.00,16478.00,191.00,시작점 --> 도서관,시작점 → 계단 2 → 유치원 옆 화장실→ 전시실 → 행정실3 → 도서관 계단 → 도서관
시작점,도서관,400.00,21449.00,246.00,시작점 --> 도서관,시작점 → 계단 3 → 상담실 → 유치원 옆 화장실 → 전시실 → 행정실3 → 도서관 계단 → 도서관
시작점,도서관,402.00,21449.00,247.00,시작점 --> 도서관,시작점 → 계단 3 → 상담실 → 유치원 옆 화장실 → 전시실 → 행정실3 → 도서관 계단 → 도서관
시작점,학교 정문,218.00,11663.00,133.00,시작점 --> 학교 정문,시작점 → 계단 1 → 한울마당 → 유치원 옆 훈민정음 → 아침 무대 → 학교 현관
시작점,학교 정문,275.00,14713.00,169.00,시작점 --> 학교 정문,시작점 → 계단 2 → 식당 중등 줄 → 반얀트리홀 → 학교 현관
시작점,학교 정문,367.00,19624.00,225.30,시작점 --> 학교 정문,시작점 → 계단 3 → 상담실 → 식당 중등 줄 → 반얀트리홀 → 학교 현관
시작점,학교 정문,215.00,11663.00,130.00,시작점 --> 학교 정문,시작점 → 계단 1 → 한울마당 → 유치원 옆 훈민정음 → 아침 무대 → 학교 현관
시작점,학교 정문,220.00,11663.00,135.00,시작점 --> 학교 정문,시작점 → 계단 1 → 한울마당 → 유치원 옆 훈민정음 → 아침 무대 → 학교 현관
시작점,학교 정문,280.00,14713.00,175.00,시작점 --> 학교 정문,시작점 → 계단 2 → 식당 중등 줄 → 반얀트리홀 → 학교 현관
시작점,학교 정문,273.00,14713.00,170.00,시작점 --> 학교 정문,시작점 → 계단 2 → 식당 중등 줄 → 반얀트리홀 → 학교 현관
시작점,학교 정문,365.00,19624.00,223.00,시작점 --> 학교 정문,시작점 → 계단 3 → 상담실 → 식당 중등 줄 → 반얀트리홀 → 학교 현관
시작점,학교 정문,370.00,19624.00,227.00,시작점 --> 학교 정문,시작점 → 계단 3 → 상담실 → 식당 중등 줄 → 반얀트리홀 → 학교 현관
매점,도서관,155.00,8293.00,95.20,매점 --> 도서관,매점 → 유치원 훈민정음 → 아침무대 → 도서관 계단 → 도서관
매점,도서관,213.00,11396.00,130.80,매점 --> 도서관,매점 → 유치원 훈민정음 → 전시실 → 행정실3 → 도서관 계단 → 도서관
매점,도서관,150.00,8025.00,92.10,매점 --> 도서관,매점 → 고등 급식줄 → 도서관 계단 → 도서관
매점,도서관,153.00,8293.00,95.00,매점 --> 도서관,매점 → 유치원 훈민정음 → 아침무대 → 도서관 계단 → 도서관
매점,도서관,157.00,8293.00,95.50,매점 --> 도서관,매점 → 유치원 훈민정음 → 아침무대 → 도서관 계단 → 도서관
매점,도서관,212.00,11396.00,130.00,매점 --> 도서관,매점 → 유치원 훈민정음 → 전시실 → 행정실3 → 도서관 계단 → 도서관
매점,도서관,214.00,11396.00,131.00,매점 --> 도서관,매점 → 유치원 훈민정음 → 전시실 → 행정실3 → 도서관 계단 → 도서관
매점,도서관,149.00,8025.00,91.00,매점 --> 도서관,매점 → 고등 급식줄 → 도서관 계단 → 도서관
매점,도서관,151.00,8025.00,93.00,매점 --> 도서관,매점 → 고등 급식줄 → 도서관 계단 → 도서관
매점,학교 정문,132.00,7062.00,81.10,매점 --> 학교 정문,매점 → 유치원 훈민정음 → 아침무대 → 반얀트리홀 → 학교 현관
매점,학교 정문,141.00,7544.00,86.60,매점 --> 학교 정문,매점 → 유치원 화장실 → 유치원 사랑반 → 아침무대 → 반얀트리홀 → 학교 현관
매점,학교 정문,116.00,6206.00,71.30,매점 --> 학교 정문,매점 → 중등 급식줄 → 반얀트리홀 → 학교 현관
매점,학교 정문,133.00,7062.00,83.00,매점 --> 학교 정문,매점 → 유치원 훈민정음 → 아침무대 → 반얀트리홀 → 학교 현관
매점,학교 정문,132.00,7062.00,80.00,매점 --> 학교 정문,매점 → 유치원 훈민정음 → 아침무대 → 반얀트리홀 → 학교 현관
매점,학교 정문,140.00,7544.00,85.00,매점 --> 학교 정문,매점 → 유치원 화장실 → 유치원 사랑반 → 아침무대 → 반얀트리홀 → 학교 현관
매점,학교 정문,141.00,7544.00,87.00,매점 --> 학교 정문,매점 → 유치원 화장실 → 유치원 사랑반 → 아침무대 → 반얀트리홀 → 학교 현관
매점,학교 정문,117.00,6206.00,72.00,매점 --> 학교 정문,매점 → 중등 급식줄 → 반얀트리홀 → 학교 현관
매점,학교 정문,116.00,6206.00,70.80,매점 --> 학교 정문,매점 → 중등 급식줄 → 반얀트리홀 → 학교 현관
매점,시작점,153.00,4035.00,94.00,매점 --> 시작점,매점 → 컴퓨터1실 앞 계단 → 시작점
매점,시작점,168.00,9143.50,104.00,매점 --> 시작점,매점 → 신관 중앙 계단 → 시작점
매점,시작점,246.00,13131.00,151.00,매점 --> 시작점,매점 → 1층 상담실 → 신한 정보관 계단(공학실 옆) → 시작점
매점,시작점,151.00,4035.00,90.00,매점 --> 시작점,매점 → 컴퓨터1실 앞 계단 → 시작점
매점,시작점,155.00,4035.00,98.00,매점 --> 시작점,매점 → 컴퓨터1실 앞 계단 → 시작점
매점,시작점,166.00,9143.50,102.00,매점 --> 시작점,매점 → 신관 중앙 계단 → 시작점
매점,시작점,168.00,9143.50,110.00,매점 --> 시작점,매점 → 신관 중앙 계단 → 시작점
매점,시작점,248.00,13131.00,161.00,매점 --> 시작점,매점 → 1층 상담실 → 신한 정보관 계단(공학실 옆) → 시작점
매점,시작점,244.00,13131.00,148.00,매점 --> 시작점,매점 → 1층 상담실 → 신한 정보관 계단(공학실 옆) → 시작점
도서관,학교 정문,96.00,5136.00,58.90,도서관 --> 학교 정문,도서관 → 도서관 계단 → 아침무대 → 반얀트리홀 → 학교 현관
도서관,학교 정문,159.00,8502.00,97.90,도서관 --> 학교 정문,도서관 → 도서관 계단 → 고등 급식줄 → 중등 급식줄 → 학교 현관
도서관,학교 정문,121.00,6473.00,74.40,도서관 --> 학교 정문,도서관 → 도서관 계단 → 고등 급식줄 → 버스 주차장
도서관,학교 정문,98.00,5136.00,60.00,도서관 --> 학교 정문,도서관 → 도서관 계단 → 아침무대 → 반얀트리홀 → 학교 현관
도서관,학교 정문,96.00,5136.00,58.00,도서관 --> 학교 정문,도서관 → 도서관 계단 → 아침무대 → 반얀트리홀 → 학교 현관
도서관,학교 정문,160.00,8502.00,99.00,도서관 --> 학교 정문,도서관 → 도서관 계단 → 고등 급식줄 → 중등 급식줄 → 학교 현관
도서관,학교 정문,159.00,8502.00,98.00,도서관 --> 학교 정문,도서관 → 도서관 계단 → 고등 급식줄 → 중등 급식줄 → 학교 현관
도서관,학교 정문,120.00,6473.00,73.00,도서관 --> 학교 정문,도서관 → 도서관 계단 → 고등 급식줄 → 버스 주차장
도서관,학교 정문,121.00,6473.00,74.00,도서관 --> 학교 정문,도서관 → 도서관 계단 → 고등 급식줄 → 버스 주차장
도서관,매점,155.00,8293.00,95.20,도서관 --> 매점,도서관 → 도서관 계단 → 아침무대 → 유치원 훈민정음 → 매점
도서관,매점,213.00,11396.00,130.80,도서관 --> 매점,도서관 → 도서관 계단 → 행정실3 → 전시실 → 유치원 훈민정음 → 매점
도서관,매점,150.00,8025.00,92.10,도서관 --> 매점,도서관 → 도서관 계단 → 고등 급식줄 → 매점
도서관,매점,154.00,8293.00,94.00,도서관 --> 매점,도서관 → 도서관 계단 → 아침무대 → 유치원 훈민정음 → 매점
도서관,매점,156.00,8293.00,96.00,도서관 --> 매점,도서관 → 도서관 계단 → 아침무대 → 유치원 훈민정음 → 매점
도서관,매점,211.00,11396.00,129.00,도서관 --> 매점,도서관 → 도서관 계단 → 행정실3 → 전시실 → 유치원 훈민정음 → 매점
도서관,매점,215.00,11396.00,132.00,도서관 --> 매점,도서관 → 도서관 계단 → 행정실3 → 전시실 → 유치원 훈민정음 → 매점
도서관,매점,148.00,8025.00,90.00,도서관 --> 매점,도서관 → 도서관 계단 → 고등 급식줄 → 매점
도서관,매점,152.00,8025.00,95.00,도서관 --> 매점,도서관 → 도서관 계단 → 고등 급식줄 → 매점
도서관,시작점,317.00,16950.00,194.80,도서관 --> 시작점,도서관 → 도서관 3거리 코너 → 세종4 → 2-3 → 7-5 → 계단 0 / 자치문화 교무실 → 계단 1 → 시작점
도서관,시작점,411.00,21954.00,252.50,도서관 --> 시작점,도서관 → 도서관 3거리 코너 → 세종4 → 2-3 → 7-5 → 계단 2 → 시작점
도서관,시작점,500.00,26755.00,307.10,도서관 --> 시작점,도서관 → 도서관 3거리 코너 → 세종4 → 2-3 → 7-5 → 계단 3 → 시작점
도서관,시작점,293.00,15666.00,180.50,도서관 --> 시작점,도서관 → 도서관 계단 → 행정실3 → 유치원 원장실 → 유치원 옆 훈민정음 벽 → 계단 1 → 시작점
도서관,시작점,308.00,16478.00,189.70,도서관 --> 시작점,도서관 → 도서관 계단 → 행정실3 → 전시실 → 급식실  → 계단 2 → 시작점
도서관,시작점,401.00,21449.00,246.20,도서관 --> 시작점,도서관 → 도서관 계단 → 행정실3 → 전시실 → 급식실 → 상담실 → 계단 3 → 시작점
도서관,시작점,314.00,16950.00,192.00,도서관 --> 시작점,도서관 → 도서관 3거리 코너 → 세종4 → 2-3 → 7-5 → 계단 0 / 자치문화 교무실 → 계단 1 → 시작점
도서관,시작점,319.00,16950.00,196.00,도서관 --> 시작점,도서관 → 도서관 3거리 코너 → 세종4 → 2-3 → 7-5 → 계단 0 / 자치문화 교무실 → 계단 1 → 시작점
도서관,시작점,414.00,21954.00,250.00,도서관 --> 시작점,도서관 → 도서관 3거리 코너 → 세종4 → 2-3 → 7-5 → 계단 2 → 시작점
도서관,시작점,409.00,21954.00,244.00,도서관 --> 시작점,도서관 → 도서관 3거리 코너 → 세종4 → 2-3 → 7-5 → 계단 2 → 시작점
도서관,시작점,497.00,26755.00,304.00,도서관 --> 시작점,도서관 → 도서관 3거리 코너 → 세종4 → 2-3 → 7-5 → 계단 3 → 시작점
도서관,시작점,501.00,26755.00,311.00,도서관 --> 시작점,도서관 → 도서관 3거리 코너 → 세종4 → 2-3 → 7-5 → 계단 3 → 시작점
도서관,시작점,292.00,15666.00,180.00,도서관 --> 시작점,도서관 → 도서관 계단 → 행정실3 → 유치원 원장실 → 유치원 옆 훈민정음 벽 → 계단 1 → 시작점
도서관,시작점,294.00,15666.00,181.00,도서관 --> 시작점,도서관 → 도서관 계단 → 행정실3 → 유치원 원장실 → 유치원 옆 훈민정음 벽 → 계단 1 → 시작점
도서관,시작점,306.00,16478.00,188.00,도서관 --> 시작점,도서관 → 도서관 계단 → 행정실3 → 전시실 → 급식실  → 계단 2 → 시작점
도서관,시작점,309.00,16478.00,190.00,도서관 --> 시작점,도서관 → 도서관 계단 → 행정실3 → 전시실 → 급식실  → 계단 2 → 시작점
도서관,시작점,400.00,21449.00,245.00,도서관 --> 시작점,도서관 → 도서관 계단 → 행정실3 → 전시실 → 급식실 → 상담실 → 계단 3 → 시작점
도서관,시작점,401.00,21449.00,247.00,도서관 --> 시작점,도서관 → 도서관 계단 → 행정실3 → 전시실 → 급식실 → 상담실 → 계단 3 → 시작점
학교 정문,도서관,96.00,5136.00,58.90,학교 정문 --> 도서관,학교 현관 → 반얀트리홀 → 아침무대 → 도서관 계단 → 도서관
학교 정문,도서관,159.00,8502.00,97.90,학교 정문 --> 도서관,학교 현관 → 중등 급식줄 → 고등 급식줄 → 도서관 계단 → 도서관
학교 정문,도서관,121.00,6473.00,74.40,학교 정문 --> 도서관,버스 주차장 → 고등 급식줄 → 도서관 계단 → 도서관
학교 정문,도서관,97.00,5136.00,59.00,학교 정문 --> 도서관,학교 현관 → 반얀트리홀 → 아침무대 → 도서관 계단 → 도서관
학교 정문,도서관,98.00,5136.00,60.00,학교 정문 --> 도서관,학교 현관 → 반얀트리홀 → 아침무대 → 도서관 계단 → 도서관
학교 정문,도서관,160.00,8502.00,98.00,학교 정문 --> 도서관,학교 현관 → 중등 급식줄 → 고등 급식줄 → 도서관 계단 → 도서관
학교 정문,도서관,158.00,8502.00,96.00,학교 정문 --> 도서관,학교 현관 → 중등 급식줄 → 고등 급식줄 → 도서관 계단 → 도서관
학교 정문,도서관,120.00,6473.00,73.00,학교 정문 --> 도서관,버스 주차장 → 고등 급식줄 → 도서관 계단 → 도서관
학교 정문,도서관,122.00,6473.00,75.00,학교 정문 --> 도서관,버스 주차장 → 고등 급식줄 → 도서관 계단 → 도서관
학교 정문,매점,132.00,7062.00,81.10,학교 정문 --> 매점,학교 현관 → 반얀트리홀 → 아침무대 → 유치원 훈민정음 → 매점
학교 정문,매점,141.00,7544.00,86.60,학교 정문 --> 매점,학교 현관 → 반얀트리홀 → 아침무대 → 유치원 사랑반 → 급식실 → 매점
학교 정문,매점,116.00,6206.00,71.30,학교 정문 --> 매점,학교 현관 → 반얀트리홀 → 중등 급식줄 → 매점
학교 정문,매점,133.00,7062.00,83.00,학교 정문 --> 매점,학교 현관 → 반얀트리홀 → 아침무대 → 유치원 훈민정음 → 매점
학교 정문,매점,132.00,7062.00,80.00,학교 정문 --> 매점,학교 현관 → 반얀트리홀 → 아침무대 → 유치원 훈민정음 → 매점
학교 정문,매점,140.00,7544.00,85.00,학교 정문 --> 매점,학교 현관 → 반얀트리홀 → 아침무대 → 유치원 사랑반 → 급식실 → 매점
학교 정문,매점,141.00,7544.00,87.00,학교 정문 --> 매점,학교 현관 → 반얀트리홀 → 아침무대 → 유치원 사랑반 → 급식실 → 매점
학교 정문,매점,117.00,6206.00,72.00,학교 정문 --> 매점,학교 현관 → 반얀트리홀 → 중등 급식줄 → 매점
학교 정문,매점,116.00,6206.00,70.80,학교 정문 --> 매점,학교 현관 → 반얀트리홀 → 중등 급식줄 → 매점
학교 정문,시작점,218.00,11663.00,133.00,학교 정문 --> 시작점,학교 현관 → 아침 무대 → 유치원 옆 훈민정음 → 한울마당 → 계단 1 → 시작점
학교 정문,시작점,275.00,14713.00,169.00,학교 정문 --> 시작점,학교 현관 → 반얀트리홀 → 식당 중등 줄 → 계단 2 → 시작점
학교 정문,시작점,367.00,19624.00,225.30,학교 정문 --> 시작점,학교 현관 → 반얀트리홀 → 식당 중등 줄 → 상담실 → 계단 3 → 시작점
학교 정문,시작점,215.00,11663.00,130.00,학교 정문 --> 시작점,학교 현관 → 아침 무대 → 유치원 옆 훈민정음 → 한울마당 → 계단 1 → 시작점
학교 정문,시작점,220.00,11663.00,135.00,학교 정문 --> 시작점,학교 현관 → 아침 무대 → 유치원 옆 훈민정음 → 한울마당 → 계단 1 → 시작점
학교 정문,시작점,280.00,14713.00,175.00,학교 정문 --> 시작점,학교 현관 → 반얀트리홀 → 식당 중등 줄 → 계단 2 → 시작점
학교 정문,시작점,273.00,14713.00,170.00,학교 정문 --> 시작점,학교 현관 → 반얀트리홀 → 식당 중등 줄 → 계단 2 → 시작점
학교 정문,시작점,365.00,19624.00,223.00,학교 정문 --> 시작점,학교 현관 → 반얀트리홀 → 식당 중등 줄 → 상담실 → 계단 3 → 시작점
학교 정문,시작점,370.00,19624.00,227.00,학교 정문 --> 시작점,학교 현관 → 반얀트리홀 → 식당 중등 줄 → 상담실 → 계단 3 → 시작점